slug,last_commit_date,language,determination_tool,determination_date
normal10as/pg2-s19e302-telefonia-caicer,2019-12-02T06:54:12Z,Visual Basic .NET,github-linguist 8.0.1,2024-09-29T02:02:40Z
ynrios189/VBA-challenge,2019-12-02T04:07:19Z,VBScript,github-linguist 8.0.1,2024-09-29T02:02:40Z
recreationx/UberKill-Patcher,2019-12-02T04:19:15Z,Visual Basic .NET,github-linguist 8.0.1,2024-09-29T02:02:40Z
asperks/curency_data_dump,2019-12-02T04:42:32Z,Visual Basic .NET,github-linguist 8.0.1,2024-09-29T02:02:40Z
clufdoug/DAC-VS-F19,2019-12-02T05:39:08Z,Visual Basic .NET,github-linguist 8.0.1,2024-09-29T02:02:40Z
Kgotso-Koete/Convert_PPT_to_imported_images,2019-12-02T05:52:40Z,VBA,github-linguist 8.0.1,2024-09-29T02:02:40Z
mima3/akanechan_powerpoint,2019-12-02T06:19:38Z,VBA,github-linguist 8.0.1,2024-09-29T02:02:40Z
libago09/vb,2019-12-02T10:17:39Z,Visual Basic .NET,github-linguist 8.0.1,2024-09-29T02:02:40Z
SimonBarnett/ExchangeRates,2019-12-02T11:49:48Z,Visual Basic .NET,github-linguist 8.0.1,2024-09-29T02:02:40Z
knightlyf/TicTacToe,2019-12-02T12:05:32Z,Visual Basic .NET,github-linguist 8.0.1,2024-09-29T02:02:40Z
ikageso1/KARAKURI,2019-12-02T12:41:39Z,Visual Basic .NET,github-linguist 8.0.1,2024-09-29T02:02:40Z
daluzi/-_database,2019-12-02T13:52:32Z,Visual Basic 6.0,github-linguist 8.0.1,2024-09-29T02:02:40Z
jgerdes96/Bachelorarbeit,2019-12-02T14:56:42Z,Visual Basic .NET,github-linguist 8.0.1,2024-09-29T02:02:40Z
ArthurBenbassat/bankrekeningmetklassen,2019-12-02T14:58:56Z,Visual Basic .NET,github-linguist 8.0.1,2024-09-29T02:02:40Z
ArthurBenbassat/wekker,2019-12-02T15:04:25Z,Visual Basic .NET,github-linguist 8.0.1,2024-09-29T02:02:40Z
allexlim/UlarTangga,2019-12-02T15:11:38Z,Visual Basic .NET,github-linguist 8.0.1,2024-09-29T02:02:40Z
BeaZOWIE/TP7_Station_meteo_9111,2019-12-02T15:34:56Z,Visual Basic .NET,github-linguist 8.0.1,2024-09-29T02:02:40Z
phiguimaran/Casarone,Unknown (repo deleted or no commits),Unknown,github-linguist 8.0.1,2024-09-29T02:02:40Z
edy-kurniawan/Aplikasi-Perpustakaan-Visual-Studio-,2019-12-02T17:14:27Z,Visual Basic .NET,github-linguist 8.0.1,2024-09-29T02:02:40Z
pacho01/RollArt_SQLITE,2019-12-02T17:54:19Z,Visual Basic .NET,github-linguist 8.0.1,2024-09-29T02:02:40Z
FapCod/ESCUELAPOSTULANTE-EXAMENPARCIAL,2019-12-02T18:55:14Z,Visual Basic .NET,github-linguist 8.0.1,2024-09-29T02:02:40Z
letinmore/ogr2ogrGUI,2019-12-02T20:05:15Z,Visual Basic .NET,github-linguist 8.0.1,2024-09-29T02:02:40Z
CAES23/FARMACIA_VB,2019-12-02T21:00:49Z,Visual Basic .NET,github-linguist 8.0.1,2024-09-29T02:02:40Z
EdsonNS/SumatraPDFDarkTheme,2019-12-02T21:46:47Z,VBScript,github-linguist 8.0.1,2024-09-29T02:02:40Z
susanrima/Advanced-Excel,2019-12-02T22:00:03Z,Visual Basic .NET,github-linguist 8.0.1,2024-09-29T02:02:40Z
fernansoft/Execicios-Satoshi-1S,2019-12-02T22:00:34Z,Visual Basic .NET,github-linguist 8.0.1,2024-09-29T02:02:40Z
zhoutao929/msd_ssar,2019-12-02T23:02:01Z,Visual Basic .NET,github-linguist 8.0.1,2024-09-29T02:02:40Z
NRG-FHSU/OrderTracker,2019-12-02T23:36:40Z,Visual Basic .NET,github-linguist 8.0.1,2024-09-29T02:02:40Z
oscar1997-vb/Visual,2019-12-07T00:02:00Z,Visual Basic .NET,github-linguist 8.0.1,2024-09-29T03:13:49Z
millert1023/02-VBA-Homework,2019-12-07T00:50:23Z,Visual Basic .NET,github-linguist 8.0.1,2024-09-29T03:13:49Z
jonatasfreirejf/Flappy-Bird,2019-12-07T03:05:10Z,Visual Basic .NET,github-linguist 8.0.1,2024-09-29T03:13:49Z
aziesabd/dompetku_azis_syifa,2019-12-07T05:22:27Z,Visual Basic .NET,github-linguist 8.0.1,2024-09-29T03:13:49Z
gastonShoe/EPE2TallerPuntoNet,2019-12-07T05:26:41Z,Visual Basic .NET,github-linguist 8.0.1,2024-09-29T03:13:49Z
aurora1000/BSCOE-ELECTIVE-3,2019-12-07T06:55:43Z,Visual Basic .NET,github-linguist 8.0.1,2024-09-29T03:13:49Z
elyyqttt/BSCOEELECTIVE35-4,2019-12-07T08:33:59Z,Visual Basic .NET,github-linguist 8.0.1,2024-09-29T03:13:49Z
moudanoyamane/Hanashite,2019-12-07T14:05:43Z,Visual Basic .NET,github-linguist 8.0.1,2024-09-29T03:13:49Z
MateusAquino/editor-html-simples,2019-12-07T14:31:09Z,Visual Basic .NET,github-linguist 8.0.1,2024-09-29T03:13:49Z
daliborpuljiz/Convert-SQL-to-VBA-Line,2019-12-07T15:04:20Z,Visual Basic .NET,github-linguist 8.0.1,2024-09-29T03:13:49Z
ubuntulover09/gray-keylogger,2019-12-07T16:55:31Z,Visual Basic .NET,github-linguist 8.0.1,2024-09-29T03:13:49Z
RushdiEskandar/Be_Secure,2019-12-07T17:13:07Z,Visual Basic .NET,github-linguist 8.0.1,2024-09-29T03:13:49Z
lancebrown42/VB_Intro,2019-12-07T18:39:29Z,Visual Basic .NET,github-linguist 8.0.1,2024-09-29T03:13:49Z
jorgmour/ConexionBDA,Unknown (repo deleted or no commits),Unknown,github-linguist 8.0.1,2024-09-29T03:25:31Z
akshitarora19/Visual-Basic,2019-12-07T23:52:26Z,Visual Basic .NET,github-linguist 8.0.1,2024-09-29T03:37:13Z
GrcPendragon/ChatGG,2019-12-06T01:12:14Z,Visual Basic .NET,github-linguist 8.0.1,2024-09-29T03:37:23Z
abejones26/VBA-challenge-new,2019-12-06T01:11:00Z,Visual Basic .NET,github-linguist 8.0.1,2024-09-29T03:37:23Z
KhoaTranQ/Visual-Basic-,2019-12-06T01:54:21Z,Visual Basic .NET,github-linguist 8.0.1,2024-09-29T03:37:23Z
divsh/CreateFolderAndTemplates,2019-12-06T02:03:46Z,Visual Basic .NET,github-linguist 8.0.1,2024-09-29T03:37:23Z
kodesiba/VBA-Challenge,2019-12-06T02:16:51Z,VBA,github-linguist 8.0.1,2024-09-29T03:37:23Z
Vicente2607/bootcamp,2019-12-06T02:21:26Z,VBA,github-linguist 8.0.1,2024-09-29T03:37:23Z
Irving9801/SoftwareVIII,2019-12-06T02:49:54Z,Visual Basic .NET,github-linguist 8.0.1,2024-09-29T03:37:23Z
jasonshaobin/WIX_Make_Language,2019-12-06T03:09:35Z,VBScript,github-linguist 8.0.1,2024-09-29T03:37:23Z
krintyso/TK-VS-F19,2019-12-06T04:18:06Z,Visual Basic .NET,github-linguist 8.0.1,2024-09-29T03:37:23Z
MarcetaAleksa-zz/S,Unknown (repo deleted or no commits),Unknown,github-linguist 8.0.1,2024-09-29T03:37:23Z
DrikusStander/TempTest,2019-12-06T06:48:01Z,Visual Basic .NET,github-linguist 8.0.1,2024-09-29T03:37:23Z
lishtyl2/TL-VS-F19,2019-12-13T16:37:34Z,Visual Basic .NET,github-linguist 8.0.1,2024-09-29T03:37:23Z
hendroprwk08/WinAppVBListViewCrystalReport,2019-12-06T07:38:40Z,Visual Basic .NET,github-linguist 8.0.1,2024-09-29T03:37:23Z
hjnb/Save,2019-12-06T08:44:14Z,Visual Basic .NET,github-linguist 8.0.1,2024-09-29T03:37:23Z
Sachin-c/Pacman_in_VB,2019-12-06T09:22:08Z,Visual Basic 6.0,github-linguist 8.0.1,2024-09-29T03:37:23Z
Jairus24/ProjeckMilk,2019-12-06T09:27:37Z,Visual Basic .NET,github-linguist 8.0.1,2024-09-29T03:37:23Z
Leon-Singleton/Secondary-School-Mangement-Application-VB,2019-12-06T10:11:24Z,Visual Basic .NET,github-linguist 8.0.1,2024-09-29T03:37:23Z
Shoichiinaba/toko,2019-12-04T22:23:18Z,Visual Basic .NET,github-linguist 8.0.1,2024-09-29T03:37:23Z
netk-infosys/ForInheritance,2019-12-06T10:23:07Z,Visual Basic .NET,github-linguist 8.0.1,2024-09-29T03:37:23Z
sebastianbenitez/EstacionamientoCoconuts,2019-12-06T12:27:55Z,Visual Basic .NET,github-linguist 8.0.1,2024-09-29T03:37:23Z
pacope1/scoreTracker,2019-12-06T14:56:54Z,Visual Basic .NET,github-linguist 8.0.1,2024-09-29T03:37:23Z
NelsRykk/RJN-VS-F19,2019-12-06T15:34:57Z,Visual Basic .NET,github-linguist 8.0.1,2024-09-29T03:37:23Z
slacdyla/DTS-VS-F19,2019-12-06T16:02:18Z,Visual Basic .NET,github-linguist 8.0.1,2024-09-29T03:37:23Z
Qwizi/vbs,2019-12-06T16:08:54Z,VBScript,github-linguist 8.0.1,2024-09-29T03:37:23Z
jrodd96/web-browser_jws-master,2019-12-06T20:42:55Z,Visual Basic .NET,github-linguist 8.0.1,2024-09-29T03:37:23Z
nicol909/Stand-Alone_CodeAnalysisApp1,2019-12-06T21:18:18Z,Visual Basic .NET,github-linguist 8.0.1,2024-09-29T03:37:23Z
DanielChoque/IQ_Core,2019-12-06T21:38:32Z,Visual Basic .NET,github-linguist 8.0.1,2024-09-29T03:37:23Z
juanhoilz/SIF,2019-12-06T21:46:47Z,Visual Basic .NET,github-linguist 8.0.1,2024-09-29T03:37:23Z
Daylend/PongVB,2019-12-06T22:05:54Z,Visual Basic .NET,github-linguist 8.0.1,2024-09-29T03:37:23Z
Daylend/PrimeVB,2019-12-06T22:15:15Z,Visual Basic .NET,github-linguist 8.0.1,2024-09-29T03:37:23Z
sitirahmah26/aplikasiKas_Siti_Rahmah_Rina_Dwimadina,2019-12-06T23:26:24Z,Visual Basic .NET,github-linguist 8.0.1,2024-09-29T03:37:23Z
leobastiani/Skype,2019-12-05T00:27:28Z,VBScript,github-linguist 8.0.1,2024-09-29T03:55:17Z
Wino3/PlanetsBarChart,2019-12-05T01:21:18Z,Visual Basic .NET,github-linguist 8.0.1,2024-09-29T03:55:17Z
JohnWilkins82/FlightPlanner4,Unknown (repo deleted or no commits),Unknown,github-linguist 8.0.1,2024-09-29T03:55:17Z
carlnathF19/NDC-VS-F19,2019-12-05T01:54:16Z,Visual Basic .NET,github-linguist 8.0.1,2024-09-29T03:55:17Z
benjov/VBA-challenge,2019-12-05T02:31:23Z,VBScript,github-linguist 8.0.1,2024-09-29T03:55:17Z
Laborico/Maquinas-de-Turing,2019-12-05T03:40:32Z,Visual Basic .NET,github-linguist 8.0.1,2024-09-29T03:55:17Z
aroz-online/ArUSB2Win,2019-12-05T05:14:44Z,Visual Basic .NET,github-linguist 8.0.1,2024-09-29T03:55:17Z
Dynases/Dino_Lavamatico,2019-12-05T06:23:09Z,Visual Basic .NET,github-linguist 8.0.1,2024-09-29T03:55:17Z
CemTopuk/my_projects,2019-12-05T07:50:06Z,Visual Basic .NET,github-linguist 8.0.1,2024-09-29T03:55:17Z
XIAOMO34/zhenjiangxiangmu,2019-12-05T07:58:30Z,Visual Basic .NET,github-linguist 8.0.1,2024-09-29T03:55:17Z
weskleyM/VisualStudio,2019-12-05T09:12:29Z,Visual Basic .NET,github-linguist 8.0.1,2024-09-29T03:55:17Z
nkchoudhary2000/Suvery-Text-Fomatting,2019-12-05T10:22:37Z,VBA,github-linguist 8.0.1,2024-09-29T03:55:17Z
csMiz/Project322_IPCV2019,2019-12-05T10:23:21Z,Visual Basic .NET,github-linguist 8.0.1,2024-09-29T03:55:17Z
iamvictorabedi/vb-project,2019-12-05T10:49:26Z,Visual Basic .NET,github-linguist 8.0.1,2024-09-29T03:55:17Z
Jvtetrault/SP-Time-Study,2019-12-05T11:12:58Z,Visual Basic .NET,github-linguist 8.0.1,2024-09-29T03:55:17Z
alvinanulat/HACDOGS,2019-12-05T12:28:44Z,Visual Basic .NET,github-linguist 8.0.1,2024-09-29T03:55:17Z
MarcoDSilva/learning-Vb,Unknown (repo deleted or no commits),Unknown,github-linguist 8.0.1,2024-09-29T03:55:17Z
MedatechUK/ExchangeRates,2019-12-02T11:49:48Z,Visual Basic .NET,github-linguist 8.0.1,2024-09-29T03:55:17Z
MedatechUK/RunBat,2019-11-21T09:43:51Z,Visual Basic .NET,github-linguist 8.0.1,2024-09-29T03:55:17Z
MedatechUK/api,2019-11-13T15:55:50Z,Visual Basic .NET,github-linguist 8.0.1,2024-09-29T03:55:17Z
MedatechUK/pixie,2017-01-10T22:00:00Z,Visual Basic .NET,github-linguist 8.0.1,2024-09-29T03:55:17Z
MedatechUK/MultiDocScan,2017-07-10T13:27:43Z,Visual Basic .NET,github-linguist 8.0.1,2024-09-29T03:55:17Z
MedatechUK/DocScanSingle,2018-04-12T16:26:21Z,Visual Basic .NET,github-linguist 8.0.1,2024-09-29T03:55:17Z
MedatechUK/prnSvr,2018-04-12T16:10:12Z,Visual Basic .NET,github-linguist 8.0.1,2024-09-29T03:55:17Z
MedatechUK/xhttpost,2019-04-14T09:23:02Z,Visual Basic .NET,github-linguist 8.0.1,2024-09-29T03:55:17Z
MedatechUK/tru3pl,2019-05-12T09:23:10Z,Visual Basic .NET,github-linguist 8.0.1,2024-09-29T03:55:17Z
Areesha-Binte-Riaz/String-Manipulation,2019-12-05T13:31:25Z,Visual Basic .NET,github-linguist 8.0.1,2024-09-29T03:55:17Z
telthemweb/helpDesk,2019-12-05T13:31:58Z,Visual Basic .NET,github-linguist 8.0.1,2024-09-29T03:55:17Z
ammogcoder/dotNetHelper,2019-12-05T14:51:14Z,Visual Basic .NET,github-linguist 8.0.1,2024-09-29T03:55:17Z
Aaqib007/AS-string-manipulation,2019-12-05T15:13:55Z,Visual Basic .NET,github-linguist 8.0.1,2024-09-29T03:55:17Z
xingyuminhang/PeriodicTableProjects,2019-12-05T15:21:13Z,Visual Basic .NET,github-linguist 8.0.1,2024-09-29T03:55:17Z
bennythejet16/Virtual_Basic_Scrips,2019-12-05T16:16:18Z,VBScript,github-linguist 8.0.1,2024-09-29T03:55:17Z
hacefrio/CRUDSQLVisualBasic,2019-12-05T16:19:24Z,Visual Basic .NET,github-linguist 8.0.1,2024-09-29T03:55:17Z
tdoanUNCG/VBA-challenge,2019-12-05T17:17:44Z,Visual Basic .NET,github-linguist 8.0.1,2024-09-29T03:55:17Z
CechItOut/Memory-Manager,2019-12-05T17:23:43Z,Visual Basic .NET,github-linguist 8.0.1,2024-09-29T03:55:17Z
erinaldo/ULMAStudio,2019-12-05T17:29:26Z,Visual Basic .NET,github-linguist 8.0.1,2024-09-29T03:55:17Z
74354210/CoidigoGesa2019pro,2019-12-05T17:34:24Z,Visual Basic .NET,github-linguist 8.0.1,2024-09-29T03:55:17Z
BlameTroi/smallBASIC-samples,2019-12-05T18:31:34Z,FreeBasic,github-linguist 8.0.1,2024-09-29T03:55:17Z
jeanslikecodes/adm-cartoes,2019-12-05T19:24:21Z,VBA,github-linguist 8.0.1,2024-09-29T03:55:17Z
Rdavid1991/Proyect2,2019-12-05T20:04:13Z,Visual Basic .NET,github-linguist 8.0.1,2024-09-29T03:55:17Z
warrenvince/vba-challenge,2019-12-05T20:13:25Z,VBScript,github-linguist 8.0.1,2024-09-29T03:55:17Z
MrMarkian/CSEdit2,2019-12-05T20:21:40Z,Visual Basic .NET,github-linguist 8.0.1,2024-09-29T03:55:17Z
Phreak87/FFSend,Unknown (repo deleted or no commits),Unknown,github-linguist 8.0.1,2024-09-29T03:55:17Z
vrvelasco/Visual-Basic-Programming-II,2019-12-05T22:32:57Z,Visual Basic .NET,github-linguist 8.0.1,2024-09-29T03:55:17Z
sbell1258/NorthwesternUBootcamp,2019-12-04T00:01:34Z,Visual Basic .NET,github-linguist 8.0.1,2024-09-29T03:56:13Z
RodrigoNovas/intercopVBNET,2019-12-04T00:36:07Z,Visual Basic .NET,github-linguist 8.0.1,2024-09-29T03:56:13Z
ggemilio/avis,2019-08-07T22:23:48Z,Visual Basic 6.0,github-linguist 8.0.1,2024-09-29T03:56:13Z
Sovannak22/dockerTest4,2019-07-09T10:26:49Z,Visual Basic 6.0,github-linguist 8.0.1,2024-09-29T03:56:13Z
AnnisaPutri20/Tugas3PraktikumVisual,2019-12-04T01:21:35Z,Visual Basic .NET,github-linguist 8.0.1,2024-09-29T03:56:13Z
laomms/InlineHook_VB,2019-12-04T01:37:44Z,Visual Basic .NET,github-linguist 8.0.1,2024-09-29T03:56:13Z
nurulalawiyah/AplikasiKas_Nurul-Alawiyah_Rohani,2019-12-04T02:06:49Z,Visual Basic .NET,github-linguist 8.0.1,2024-09-29T03:56:13Z
CitrusIce/OfficeMacroGenerator,2019-12-04T03:20:19Z,VBA,github-linguist 8.0.1,2024-09-29T03:56:13Z
aaldyy/Tugas-3-PraktikumVB,2019-12-04T03:23:46Z,Visual Basic .NET,github-linguist 8.0.1,2024-09-29T03:56:13Z
hwydant/aplikasiKas_Ahmad_Zaki_Dimas_Maulana_Muhammad,2019-12-04T04:22:29Z,Visual Basic .NET,github-linguist 8.0.1,2024-09-29T03:56:13Z
JamesFlippin/VB_Demo-Code-Random-Number-Generator,2019-12-04T04:37:14Z,Visual Basic .NET,github-linguist 8.0.1,2024-09-29T03:56:13Z
billjing/SCode,2019-12-04T04:29:19Z,Visual Basic .NET,github-linguist 8.0.1,2024-09-29T03:56:13Z
kaoru387/docker-php7-ssl,2019-12-04T05:35:19Z,Visual Basic 6.0,github-linguist 8.0.1,2024-09-29T03:56:13Z
otterodeivi/Remiseria,2019-12-04T05:37:33Z,Visual Basic .NET,github-linguist 8.0.1,2024-09-29T03:56:13Z
jhanskii/prjCntctMngmnt,2019-12-04T05:52:00Z,Visual Basic .NET,github-linguist 8.0.1,2024-09-29T03:56:13Z
rodskogj/ConvertDMS2Decimal,2019-12-04T06:17:17Z,Visual Basic 6.0,github-linguist 8.0.1,2024-09-29T03:56:13Z
milaerlina/Visual_Basic_CRUD,2019-12-04T06:34:01Z,Visual Basic .NET,github-linguist 8.0.1,2024-09-29T03:56:13Z
milaerlina/AplikasiKas_MilaErlina_NorAzizah,2019-12-04T08:13:30Z,Visual Basic .NET,github-linguist 8.0.1,2024-09-29T03:56:13Z
Erwdhan429/AplikasiKas_AhmadRamadhani,2019-12-04T08:18:37Z,Visual Basic .NET,github-linguist 8.0.1,2024-09-29T03:56:13Z
GavinHwa/AutoJump,Unknown (repo deleted or no commits),Unknown,github-linguist 8.0.1,2024-09-29T03:56:13Z
AhmedRaashwan/ExtoVcf,2019-12-04T09:30:18Z,Visual Basic .NET,github-linguist 8.0.1,2024-09-29T03:56:13Z
saivikas408/TestRepoAsGit,2019-12-03T20:49:17Z,Visual Basic .NET,github-linguist 8.0.1,2024-09-29T03:56:13Z
sataketatsuya1121/workshop,2019-12-04T09:35:26Z,Visual Basic 6.0,github-linguist 8.0.1,2024-09-29T03:56:13Z
SaiSunamdha/v-sem-project,2019-12-04T10:39:23Z,Visual Basic .NET,github-linguist 8.0.1,2024-09-29T03:56:13Z
Rising80/advent_of_code2019,2019-12-04T11:00:57Z,Visual Basic .NET,github-linguist 8.0.1,2024-09-29T03:56:13Z
enriquewph/Impresora-Braille_swpc,2019-12-04T11:28:22Z,Visual Basic .NET,github-linguist 8.0.1,2024-09-29T03:56:13Z
daumie/matching-game,2019-12-04T12:30:28Z,Visual Basic .NET,github-linguist 8.0.1,2024-09-29T03:56:13Z
TsvetiZlateva/Sloth-Browser,2019-12-04T12:57:00Z,Visual Basic .NET,github-linguist 8.0.1,2024-09-29T03:56:13Z
SyifaSB/Visual_Basic_KasKeluarMasuk,2019-12-04T13:51:46Z,Visual Basic .NET,github-linguist 8.0.1,2024-09-29T03:56:13Z
aaraujo2019/LabS,2019-12-04T14:21:07Z,Visual Basic .NET,github-linguist 8.0.1,2024-09-29T03:56:13Z
MarcetaAleksa-zz/Kasa,2019-12-04T14:46:03Z,Visual Basic .NET,github-linguist 8.0.1,2024-09-29T03:56:13Z
jafarkurniadi/aplikasi_kas,2019-12-04T14:50:44Z,Visual Basic .NET,github-linguist 8.0.1,2024-09-29T03:56:13Z
ginaaprilianti/Visual_Studio_Kas,2019-12-04T15:28:24Z,Visual Basic .NET,github-linguist 8.0.1,2024-09-29T03:56:13Z
ginaaprilianti/aplikasiKas_GinaAprilianti_AidaRizkina,2019-12-04T15:37:16Z,Visual Basic .NET,github-linguist 8.0.1,2024-09-29T03:56:13Z
rakeshv07/ColorPicker-Windows-App,2019-12-04T15:44:37Z,Visual Basic .NET,github-linguist 8.0.1,2024-09-29T03:56:13Z
master-kamal12/aplikasikas_M,Unknown (repo deleted or no commits),Unknown,github-linguist 8.0.1,2024-09-29T03:56:13Z
RoVRy/Calc,2019-12-04T18:03:14Z,Visual Basic .NET,github-linguist 8.0.1,2024-09-29T03:56:13Z
RoVRy/NetSpkHisViewer,2019-12-04T18:16:39Z,Visual Basic .NET,github-linguist 8.0.1,2024-09-29T03:56:13Z
ssepulvedamcl/CursoVisualBasicNET,2019-12-04T18:19:37Z,Visual Basic .NET,github-linguist 8.0.1,2024-09-29T03:56:13Z
ntio/stm32flash,2019-12-04T19:18:57Z,Visual Basic 6.0,github-linguist 8.0.1,2024-09-29T03:56:13Z
Th3Shadowbroker/Advent-of-Code-2019,2019-12-04T19:46:29Z,Visual Basic .NET,github-linguist 8.0.1,2024-09-29T03:56:13Z
kipmadden/LottoNumbers,2019-12-04T19:48:17Z,Visual Basic .NET,github-linguist 8.0.1,2024-09-29T03:56:13Z
Krazygamr/routerfiletransfer,2019-12-04T20:14:04Z,VBScript,github-linguist 8.0.1,2024-09-29T03:56:13Z
spennyharrison/vba-challenge,2019-12-04T20:12:27Z,VBA,github-linguist 8.0.1,2024-09-29T03:56:13Z
Wyattmontana/Airline-Reservatiom,2019-12-04T20:33:24Z,Visual Basic .NET,github-linguist 8.0.1,2024-09-29T03:56:13Z
zhuoranzhang-ryan/VBA_Homework,2019-12-04T22:05:52Z,VBA,github-linguist 8.0.1,2024-09-29T03:56:13Z
AlexDaza127/ventasnominasjuegosvb,2019-12-04T23:10:10Z,Visual Basic .NET,github-linguist 8.0.1,2024-09-29T03:56:13Z
yyqyu/notam_check,2019-12-04T23:34:32Z,VBScript,github-linguist 8.0.1,2024-09-29T03:56:13Z
LZBiala/-The-VBA-of-Wall-Street,2019-12-03T00:54:48Z,VBA,github-linguist 8.0.1,2024-09-29T04:19:24Z
MorganAbraham/VbTicTacToe,2019-12-03T01:14:48Z,Visual Basic .NET,github-linguist 8.0.1,2024-09-29T04:19:24Z
vastopol/ti_basics,2019-12-03T02:10:54Z,Visual Basic 6.0,github-linguist 8.0.1,2024-09-29T04:19:24Z
samuel-ribeiro-almeida/laravel_redis_mysql,2019-10-11T12:33:29Z,Visual Basic 6.0,github-linguist 8.0.1,2024-09-29T04:19:24Z
rrooliveira/laravel-code,2019-10-16T23:32:27Z,Visual Basic 6.0,github-linguist 8.0.1,2024-09-29T04:19:24Z
dcd6395/VBA_Of_Wall_Street_Project,2019-12-03T07:00:21Z,VBScript,github-linguist 8.0.1,2024-09-29T04:19:24Z
KostuchGP/Cost_Timer,2019-12-03T07:33:52Z,Visual Basic .NET,github-linguist 8.0.1,2024-09-29T04:19:24Z
creasy-pita/foxtable01,2019-12-03T09:50:17Z,Visual Basic .NET,github-linguist 8.0.1,2024-09-29T04:19:24Z
hanaexcl/ScalarQuantization,2019-12-03T10:11:36Z,Visual Basic .NET,github-linguist 8.0.1,2024-09-29T04:19:24Z
uzansha/Program_Kas,2019-12-03T10:07:12Z,Visual Basic .NET,github-linguist 8.0.1,2024-09-29T04:19:24Z
noviasirlina/Program_Kas,2019-12-03T10:39:01Z,Visual Basic .NET,github-linguist 8.0.1,2024-09-29T04:19:24Z
ridharmdhni/Aplikasi_Kas,2019-12-03T12:01:43Z,Visual Basic .NET,github-linguist 8.0.1,2024-09-29T04:19:24Z
Ixchel97/Praktikum3_VB,2019-12-03T12:00:12Z,Visual Basic .NET,github-linguist 8.0.1,2024-09-29T04:19:24Z
blackzafiqz/Movie-Ticketing-System-VB,Unknown (repo deleted or no commits),Unknown,github-linguist 8.0.1,2024-09-29T04:19:24Z
hakqlim/FTUN,2019-12-03T12:53:13Z,Visual Basic .NET,github-linguist 8.0.1,2024-09-29T04:19:24Z
